datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2006-12-16,3.0534747,0.08818687,236.24376,13.0828285,0.0,1.3787879,12.439394,37.073063
2006-12-17,2.3544862,0.15694861,240.08702,9.999028,1.4118055,2.9076388,9.264584,25.657408
2006-12-18,1.5304347,0.11235555,241.23169,6.4216666,0.73819447,1.8201389,9.734722,13.21419
2006-12-19,1.1570792,0.10482083,241.99931,4.9263887,0.58263886,5.2791667,4.303472,9.119375
2006-12-20,1.5456583,0.111804165,242.30806,6.467361,0.0,1.8388889,9.765972,14.156111
2006-12-21,1.193758,0.10025452,241.04054,5.033797,1.2273991,1.8240612,7.2468705,9.597635
2006-12-22,1.6259291,0.12979583,241.18456,6.8729167,2.1881945,0.24305555,7.7298613,16.937708
2006-12-23,3.3148513,0.15379861,240.13608,14.028055,1.8534722,0.2951389,10.226389,42.872524
2006-12-24,1.7708417,0.104097225,241.68744,7.6404166,1.1826389,3.5291667,4.7854166,20.016806
2006-12-25,1.9049444,0.16686112,243.39993,7.9515276,4.5972223,1.3625,4.0243053,21.765047
2006-12-26,2.7320209,0.11465417,241.62544,11.347917,0.75416666,1.7590277,10.402083,32.618404
2006-12-27,1.0616388,0.1242375,243.76736,4.5175,0.0,0.21805556,4.8444443,12.631481
2006-12-28,1.4393319,0.14505278,243.26833,6.08625,1.5326389,3.06875,6.3722224,13.015255
2006-12-29,2.204439,0.13638473,240.8713,9.271389,0.86944443,3.5847223,7.867361,24.41912
2006-12-30,1.9397093,0.21691795,240.5407,8.292212,2.1363003,5.4874825,8.67872,16.025986
2006-12-31,2.426525,0.10475834,239.89658,10.199583,0.0,0.24097222,4.515278,35.685833
2007-01-01,1.9090306,0.102893054,240.12898,7.9169445,0.0,0.24444444,4.0833335,27.489399
2007-01-02,0.8814139,0.13218194,241.94377,3.714028,0.0,0.24166666,4.5569444,9.891621
2007-01-03,0.70420414,0.13661666,243.55708,3.0140278,0.0,0.23888889,3.3090277,8.18882
2007-01-04,2.2634807,0.1404875,239.7503,9.478194,0.72986114,5.2756944,7.5666666,24.152454
2007-01-05,1.8842806,0.12024584,240.49576,7.885139,1.0298611,0.26319444,5.2791667,24.832455
2007-01-06,1.0474848,0.13346389,239.67305,4.543889,0.92777777,0.27916667,3.9430556,12.308079
2007-01-07,1.6997361,0.17088473,240.90248,7.282639,1.3798611,5.678472,8.895833,12.374768
2007-01-08,1.5565,0.14414445,239.57695,6.5516667,0.0,0.32430556,12.185416,13.431945
2007-01-09,1.2979542,0.14392222,240.48752,5.521111,1.1722223,2.9631944,6.798611,10.698542
2007-01-10,1.4963889,0.15864722,241.02745,6.3577776,0.53541666,3.0944445,7.647222,13.662731
2007-01-11,1.5661069,0.15973611,241.15569,6.6583333,0.95694447,1.5069444,8.621528,15.016366
2007-01-12,1.0147889,0.13829167,241.53821,4.3091664,0.0,0.3048611,5.7472224,10.861065
2007-01-13,2.2130654,0.2019,239.28362,9.453055,5.420833,2.0659723,7.8756943,21.521921
2007-01-14,2.0902126,0.15783183,238.82185,8.968311,1.2348853,2.9291174,9.016678,21.656197
2007-01-15,1.4921376,0.12143055,241.2409,6.2615275,0.76319444,1.5548611,10.529861,12.021042
2007-01-16,1.1711138,0.12876944,241.94476,4.975972,1.4326389,0.44722223,4.571528,13.067176
2007-01-17,1.9775611,0.1394111,241.00525,8.283889,2.4305556,3.9840279,11.155556,15.389213
2007-01-18,1.2649041,0.12341111,240.8936,5.3425,0.0,0.23333333,9.36875,11.479652
2007-01-19,1.0280833,0.118091665,240.16095,4.37625,1.4604167,0.22916667,4.9805555,10.464583
2007-01-20,2.1762028,0.16552916,238.86748,9.348056,3.0027778,3.6263888,7.9444447,21.696436
2007-01-21,2.3661542,0.1595389,238.96812,10.190695,7.1847224,3.8659723,8.054861,20.330347
2007-01-22,1.5142319,0.1171125,241.60313,6.355278,0.73194444,2.0715277,7.889583,14.544144
2007-01-23,1.2344723,0.09602778,242.76256,5.2608333,0.0,0.73888886,3.5145833,16.321064
2007-01-24,2.0748987,0.12365278,241.45769,8.733611,2.4055555,1.7222222,8.155556,22.29831
2007-01-25,1.1085722,0.10011111,243.42436,4.6293054,0.8041667,0.18194444,7.804861,9.685231
2007-01-26,1.1235917,0.0992375,242.77179,4.721389,0.8076389,0.18125,5.7208333,12.016806
2007-01-27,1.4194944,0.102945834,241.61658,5.949861,0.8125,2.7055554,8.593056,11.54713
2007-01-28,2.1474662,0.10656845,240.3048,9.133704,2.408617,2.7776234,8.370396,22.234468
2007-01-29,1.37685,0.11506667,240.9296,5.788889,0.7798611,0.20416667,10.593056,11.370417
2007-01-30,1.1859708,0.12564862,241.84088,5.0281944,0.7798611,0.98888886,5.6590276,12.338403
2007-01-31,1.6414944,0.12915833,239.92113,6.923611,0.0,4.1319447,10.452778,12.773519
2007-02-01,1.2671944,0.10435,240.39214,5.3325,0.8125,0.26805556,9.128472,10.91088
2007-02-02,1.15815,0.096904166,240.3344,4.8708334,0.0,0.24722221,7.873611,11.181666
2007-02-03,2.798418,0.17071112,238.9102,11.815972,3.2958333,3.1756945,12.384722,27.78405
